"Facility","Code","SampleDate","N1_Copies.L","N2_Copies.L","ORFlab_Copies.L","S_Copies.L","N_Copies.L","PMMoV_Copies.L"
"Albert_Lea","AL",2022-03-21,NA,NA,14708.49814,2394.165983,33661.67,NA
"Albert_Lea","AL",2022-03-23,NA,NA,5353.443426,3525.914772,9706.717706,NA
"Albert_Lea","AL",2022-03-28,NA,NA,12386.44509,2783.046234,28958.10855,NA
"Albert_Lea","AL",2022-03-30,NA,NA,10683.57859,1828.136205,18003.698,NA
"Albert_Lea","AL",2022-04-03,NA,NA,8781.253436,2598.197555,19346.28327,NA
"Albert_Lea","AL",2022-04-06,NA,NA,1421.048539,495.9046565,2672.254513,NA
"Albert_Lea","AL",2022-04-11,NA,NA,10679.93754,9170.407854,23089.82444,3928503.54
"Albert_Lea","AL",2022-04-13,NA,NA,5909.076265,3770.503644,9464.063346,8213057.752
"Albert_Lea","AL",2022-04-18,NA,NA,5819.369412,3814.756294,10692.38412,5530913.801
"Albert_Lea","AL",2022-04-20,NA,NA,5248.931468,3283.189645,10049.58831,53612071.96
"Albert_Lea","AL",2022-04-25,NA,NA,13992.16282,8094.366481,15736.02369,10147201.36
"Albert_Lea","AL",2022-04-28,NA,NA,6835.233875,6290.82187,13049.79624,3313909.164
"Albert_Lea","AL",2022-05-02,NA,NA,4981.206661,4510.218546,9334.087187,11258604.72
"Albert_Lea","AL",2022-05-04,NA,NA,5912.983067,4427.968848,10375.21634,1.01131e+11
"Albert_Lea","AL",2022-05-09,NA,NA,13444.57593,10596.27426,21173.4243,10367066.74
"Albert_Lea","AL",2022-05-11,NA,NA,16025.35563,11248.00195,31026.00503,9132945.14
"Albert_Lea","AL",2022-05-16,NA,NA,16323.70268,16568.98789,33933.60208,61902000.99
"Albert_Lea","AL",2022-05-18,NA,NA,4772.30349,2804.816278,8178.606294,44432936.73
"Albert_Lea","AL",2022-05-23,NA,NA,25805.96416,37557.45103,37769.90512,89823507.25
"Albert_Lea","AL",2022-05-25,NA,NA,12787.72873,9993.497599,20851.49641,NA
"Albert_Lea","AL",2022-05-31,NA,NA,6663.500473,3385.755592,17186.86842,130810574.7
"Albert_Lea","AL",2022-06-01,NA,NA,8665.39077,8467.162602,14174.44887,72839344.24
"Albert_Lea","AL",2022-06-06,NA,NA,22372.6324,9790.395626,41939.11766,166990062.9
"Albert_Lea","AL",2022-06-08,NA,NA,6901.634664,2402.834169,13404.61663,73781987.08
"Albert_Lea","AL",2022-06-13,NA,NA,851.6863841,318.864686,1145.423824,1673912.776
"Albert_Lea","AL",2022-06-15,NA,NA,7025.535588,2157.903136,15673.59809,30781359.08
"Albert_Lea","AL",2022-06-20,NA,NA,11523.77492,4129.753378,19131.45642,29666219.03
"Albert_Lea","AL",2022-06-22,NA,NA,11302.35574,4198.279426,15632.1847,65485003.64
"Albert_Lea","AL",2022-06-27,NA,NA,8256.929948,1675.645929,16434.28112,33555539.8
"Albert_Lea","AL",2022-06-29,NA,NA,8603.235596,1376.151831,12438.37575,50892591080
"Albert_Lea","AL",2022-07-05,NA,NA,13549.009,498.332137,24972.16712,67898531360
"Albert_Lea","AL",2022-07-06,NA,NA,7556.634476,15084.5063,16819.17148,47380534907
"Albert_Lea","AL",2022-07-11,NA,NA,6558.214064,1075.130684,12762.97938,11350297384
"Albert_Lea","AL",2022-07-13,NA,NA,6697.374251,283.9416331,11944.8189,22509967641
"Albert_Lea","AL",2022-07-18,NA,NA,6421.445656,178.4337582,11043.84043,3.44e+12
"Albert_Lea","AL",2022-07-20,NA,NA,4892.190823,570.407691,9157.741991,1.1e+12
"Albert_Lea","AL",2022-07-25,NA,NA,10601.74124,1133.524431,21971.15131,1511163955
"Albert_Lea","AL",2022-07-27,NA,NA,11444.85413,3176.684526,21712.78434,12386846552
"Albert_Lea","AL",2022-08-01,NA,NA,16783.29221,1291.631938,34321.70448,2084413208
"Albert_Lea","AL",2022-08-03,NA,NA,6579.571002,548.1625912,14286.75642,1.24692e+11
"Albert_Lea","AL",2022-08-08,NA,NA,20503.12571,0,34904.51676,1.23656e+11
"Albert_Lea","AL",2022-08-10,NA,NA,19620.52163,0,35603.61079,1.11e+11
"Albert_Lea","AL",2022-08-15,NA,NA,30354.64024,0,57291.72657,40564623320
"Albert_Lea","AL",2022-08-17,NA,NA,11526.46867,0,26383.61149,19882301016
"Albert_Lea","AL",2022-08-22,NA,NA,11018.80365,0,25930.15502,13517771224
"Albert_Lea","AL",2022-08-24,NA,NA,25195.04564,0,44069.60715,97364423720
"Albert_Lea","AL",2022-08-29,NA,NA,10336.04724,0,22667.12578,35689388660
"Albert_Lea","AL",2022-08-31,NA,NA,21328.76847,0,40894.17646,45466118320
"Albert_Lea","AL",2022-09-07,NA,NA,10122.2936,0,16825.38845,80014490480
