"Code","SampleDate","Case","PopulationSize"
"SV","03/01/2020",0,38958
"SV","03/08/2020",1,38958
"SV","03/15/2020",3,38958
"SV","03/22/2020",6,38958
"SV","03/29/2020",1,38958
"SV","04/05/2020",2,38958
"SV","04/12/2020",1,38958
"SV","04/19/2020",2,38958
"SV","04/26/2020",3,38958
"SV","05/03/2020",10,38958
"SV","05/10/2020",8,38958
"SV","05/17/2020",16,38958
"SV","05/24/2020",6,38958
"SV","05/31/2020",6,38958
"SV","06/07/2020",4,38958
"SV","06/14/2020",7,38958
"SV","06/21/2020",19,38958
"SV","06/28/2020",19,38958
"SV","07/05/2020",27,38958
"SV","07/12/2020",24,38958
"SV","07/19/2020",18,38958
"SV","07/26/2020",26,38958
"SV","08/02/2020",28,38958
"SV","08/09/2020",47,38958
"SV","08/16/2020",49,38958
"SV","08/23/2020",46,38958
"SV","08/30/2020",18,38958
"SV","09/06/2020",26,38958
"SV","09/13/2020",54,38958
"SV","09/20/2020",42,38958
"SV","09/27/2020",70,38958
"SV","10/04/2020",171,38958
"SV","10/11/2020",170,38958
"SV","10/18/2020",454,38958
"SV","10/25/2020",458,38958
"SV","11/01/2020",270,38958
"SV","11/08/2020",328,38958
"SV","11/15/2020",335,38958
"SV","11/22/2020",261,38958
"SV","11/29/2020",252,38958
"SV","12/06/2020",188,38958
"SV","12/13/2020",101,38958
"SV","12/20/2020",54,38958
"SV","12/27/2020",95,38958
"SV","01/03/2021",115,38958
"SV","01/10/2021",79,38958
"SV","01/17/2021",81,38958
"SV","01/24/2021",53,38958
"SV","01/31/2021",45,38958
"SV","02/07/2021",45,38958
"SV","02/14/2021",34,38958
"SV","02/21/2021",43,38958
"SV","02/28/2021",43,38958
"SV","03/07/2021",31,38958
"SV","03/14/2021",35,38958
"SV","03/21/2021",68,38958
"SV","03/28/2021",79,38958
"SV","04/04/2021",103,38958
"SV","04/11/2021",96,38958
"SV","04/18/2021",81,38958
"SV","04/25/2021",128,38958
"SV","05/02/2021",83,38958
"SV","05/09/2021",52,38958
"SV","05/16/2021",28,38958
"SV","05/23/2021",15,38958
"SV","05/30/2021",9,38958
"SV","06/06/2021",1,38958
"SV","06/13/2021",6,38958
"SV","06/20/2021",6,38958
"SV","06/27/2021",2,38958
"SV","07/04/2021",6,38958
"SV","07/11/2021",21,38958
"SV","07/18/2021",9,38958
"SV","07/25/2021",18,38958
"SV","08/01/2021",16,38958
"SV","08/08/2021",37,38958
"SV","08/15/2021",73,38958
"SV","08/22/2021",51,38958
"SV","08/29/2021",46,38958
"SV","09/05/2021",56,38958
"SV","09/12/2021",81,38958
"SV","09/19/2021",76,38958
"SV","09/26/2021",64,38958
"SV","10/03/2021",81,38958
"SV","10/10/2021",72,38958
"SV","10/17/2021",55,38958
"SV","10/24/2021",85,38958
"SV","10/31/2021",134,38958
"SV","11/07/2021",157,38958
"SV","11/14/2021",232,38958
"SV","11/21/2021",216,38958
"SV","11/28/2021",276,38958
"SV","12/05/2021",162,38958
"SV","12/12/2021",122,38958
"SV","12/19/2021",130,38958
"SV","12/26/2021",369,38958
"SV","01/02/2022",806,38958
"SV","01/09/2022",909,38958
"SV","01/16/2022",725,38958
"SV","01/23/2022",336,38958
"SV","01/30/2022",216,38958
"SV","02/06/2022",95,38958
"SV","02/13/2022",60,38958
"SV","02/20/2022",47,38958
"SV","02/27/2022",31,38958
"SV","03/06/2022",28,38958
"SV","03/13/2022",27,38958
"SV","03/20/2022",14,38958
"SV","03/27/2022",11,38958
"SV","04/03/2022",14,38958
"SV","04/10/2022",39,38958
"SV","04/17/2022",43,38958
"SV","04/24/2022",122,38958
"SV","05/01/2022",155,38958
"SV","05/08/2022",119,38958
"SV","05/15/2022",80,38958
"SV","05/22/2022",83,38958
"SV","05/29/2022",71,38958
"SV","06/05/2022",85,38958
"SV","06/12/2022",52,38958
"SV","06/19/2022",62,38958
"SV","06/26/2022",83,38958
"SV","07/03/2022",53,38958
"SV","07/10/2022",59,38958
"SV","07/17/2022",77,38958
"SV","07/24/2022",71,38958
"SV","07/31/2022",75,38958
"SV","08/07/2022",65,38958
"SV","08/14/2022",61,38958
"SV","08/21/2022",58,38958
"SV","08/28/2022",56,38958
"SV","09/04/2022",36,38958
"SV","09/11/2022",84,38958
"SV","09/18/2022",57,38958
"SV","09/25/2022",62,38958
"SV","10/02/2022",44,38958
"SV","10/09/2022",23,38958
"SV","10/16/2022",31,38958
"SV","10/23/2022",13,38958
"SV","10/30/2022",2,38958
"EB","03/01/2020",0,14880
"EB","03/08/2020",0,14880
"EB","03/15/2020",0,14880
"EB","03/22/2020",1,14880
"EB","03/29/2020",3,14880
"EB","04/05/2020",0,14880
"EB","04/12/2020",0,14880
"EB","04/19/2020",2,14880
"EB","04/26/2020",2,14880
"EB","05/03/2020",8,14880
"EB","05/10/2020",0,14880
"EB","05/17/2020",3,14880
"EB","05/24/2020",7,14880
"EB","05/31/2020",1,14880
"EB","06/07/2020",1,14880
"EB","06/14/2020",2,14880
"EB","06/21/2020",5,14880
"EB","06/28/2020",5,14880
"EB","07/05/2020",4,14880
"EB","07/12/2020",9,14880
"EB","07/19/2020",6,14880
"EB","07/26/2020",1,14880
"EB","08/02/2020",16,14880
"EB","08/09/2020",8,14880
"EB","08/16/2020",10,14880
"EB","08/23/2020",13,14880
"EB","08/30/2020",7,14880
"EB","09/06/2020",8,14880
"EB","09/13/2020",8,14880
"EB","09/20/2020",11,14880
"EB","09/27/2020",17,14880
"EB","10/04/2020",31,14880
"EB","10/11/2020",42,14880
"EB","10/18/2020",38,14880
"EB","10/25/2020",90,14880
"EB","11/01/2020",145,14880
"EB","11/08/2020",162,14880
"EB","11/15/2020",127,14880
"EB","11/22/2020",95,14880
"EB","11/29/2020",104,14880
"EB","12/06/2020",47,14880
"EB","12/13/2020",49,14880
"EB","12/20/2020",26,14880
"EB","12/27/2020",25,14880
"EB","01/03/2021",22,14880
"EB","01/10/2021",17,14880
"EB","01/17/2021",27,14880
"EB","01/24/2021",16,14880
"EB","01/31/2021",32,14880
"EB","02/07/2021",13,14880
"EB","02/14/2021",10,14880
"EB","02/21/2021",15,14880
"EB","02/28/2021",15,14880
"EB","03/07/2021",20,14880
"EB","03/14/2021",29,14880
"EB","03/21/2021",26,14880
"EB","03/28/2021",71,14880
"EB","04/04/2021",66,14880
"EB","04/11/2021",69,14880
"EB","04/18/2021",40,14880
"EB","04/25/2021",47,14880
"EB","05/02/2021",39,14880
"EB","05/09/2021",32,14880
"EB","05/16/2021",16,14880
"EB","05/23/2021",11,14880
"EB","05/30/2021",5,14880
"EB","06/06/2021",1,14880
"EB","06/13/2021",1,14880
"EB","06/20/2021",1,14880
"EB","06/27/2021",2,14880
"EB","07/04/2021",2,14880
"EB","07/11/2021",9,14880
"EB","07/18/2021",15,14880
"EB","07/25/2021",16,14880
"EB","08/01/2021",19,14880
"EB","08/08/2021",20,14880
"EB","08/15/2021",28,14880
"EB","08/22/2021",40,14880
"EB","08/29/2021",49,14880
"EB","09/05/2021",38,14880
"EB","09/12/2021",41,14880
"EB","09/19/2021",71,14880
"EB","09/26/2021",87,14880
"EB","10/03/2021",63,14880
"EB","10/10/2021",74,14880
"EB","10/17/2021",47,14880
"EB","10/24/2021",47,14880
"EB","10/31/2021",67,14880
"EB","11/07/2021",96,14880
"EB","11/14/2021",85,14880
"EB","11/21/2021",88,14880
"EB","11/28/2021",105,14880
"EB","12/05/2021",65,14880
"EB","12/12/2021",61,14880
"EB","12/19/2021",43,14880
"EB","12/26/2021",125,14880
"EB","01/02/2022",195,14880
"EB","01/09/2022",205,14880
"EB","01/16/2022",158,14880
"EB","01/23/2022",97,14880
"EB","01/30/2022",54,14880
"EB","02/06/2022",31,14880
"EB","02/13/2022",20,14880
"EB","02/20/2022",11,14880
"EB","02/27/2022",1,14880
"EB","03/06/2022",9,14880
"EB","03/13/2022",7,14880
"EB","03/20/2022",6,14880
"EB","03/27/2022",3,14880
"EB","04/03/2022",3,14880
"EB","04/10/2022",3,14880
"EB","04/17/2022",10,14880
"EB","04/24/2022",21,14880
"EB","05/01/2022",25,14880
"EB","05/08/2022",27,14880
"EB","05/15/2022",22,14880
"EB","05/22/2022",21,14880
"EB","05/29/2022",13,14880
"EB","06/05/2022",18,14880
"EB","06/12/2022",23,14880
"EB","06/19/2022",14,14880
"EB","06/26/2022",11,14880
"EB","07/03/2022",16,14880
"EB","07/10/2022",15,14880
"EB","07/17/2022",15,14880
"EB","07/24/2022",21,14880
"EB","07/31/2022",22,14880
"EB","08/07/2022",26,14880
"EB","08/14/2022",24,14880
"EB","08/21/2022",16,14880
"EB","08/28/2022",17,14880
"EB","09/04/2022",16,14880
"EB","09/11/2022",10,14880
"EB","09/18/2022",17,14880
"EB","09/25/2022",9,14880
"EB","10/02/2022",14,14880
"EB","10/09/2022",10,14880
"EB","10/16/2022",10,14880
"EB","10/23/2022",12,14880
"EB","10/30/2022",3,14880
"CB","03/01/2020",0,15529
"CB","03/08/2020",0,15529
"CB","03/15/2020",0,15529
"CB","03/22/2020",0,15529
"CB","03/29/2020",0,15529
"CB","04/05/2020",0,15529
"CB","04/12/2020",0,15529
"CB","04/19/2020",0,15529
"CB","04/26/2020",0,15529
"CB","05/03/2020",4,15529
"CB","05/10/2020",4,15529
"CB","05/17/2020",2,15529
"CB","05/24/2020",1,15529
"CB","05/31/2020",3,15529
"CB","06/07/2020",3,15529
"CB","06/14/2020",3,15529
"CB","06/21/2020",2,15529
"CB","06/28/2020",5,15529
"CB","07/05/2020",3,15529
"CB","07/12/2020",5,15529
"CB","07/19/2020",1,15529
"CB","07/26/2020",0,15529
"CB","08/02/2020",1,15529
"CB","08/09/2020",10,15529
"CB","08/16/2020",14,15529
"CB","08/23/2020",3,15529
"CB","08/30/2020",3,15529
"CB","09/06/2020",6,15529
"CB","09/13/2020",21,15529
"CB","09/20/2020",29,15529
"CB","09/27/2020",19,15529
"CB","10/04/2020",34,15529
"CB","10/11/2020",15,15529
"CB","10/18/2020",48,15529
"CB","10/25/2020",60,15529
"CB","11/01/2020",143,15529
"CB","11/08/2020",128,15529
"CB","11/15/2020",143,15529
"CB","11/22/2020",77,15529
"CB","11/29/2020",113,15529
"CB","12/06/2020",94,15529
"CB","12/13/2020",46,15529
"CB","12/20/2020",29,15529
"CB","12/27/2020",47,15529
"CB","01/03/2021",23,15529
"CB","01/10/2021",21,15529
"CB","01/17/2021",13,15529
"CB","01/24/2021",26,15529
"CB","01/31/2021",35,15529
"CB","02/07/2021",18,15529
"CB","02/14/2021",14,15529
"CB","02/21/2021",8,15529
"CB","02/28/2021",11,15529
"CB","03/07/2021",23,15529
"CB","03/14/2021",25,15529
"CB","03/21/2021",53,15529
"CB","03/28/2021",59,15529
"CB","04/04/2021",65,15529
"CB","04/11/2021",70,15529
