"Code","SampleDate","PPL_One","PPL_Full"
"AL",2020-12-20,55,0
"AL",2020-12-27,188,0
"AL",2021-01-03,408,0
"AL",2021-01-10,634,49
"AL",2021-01-17,820,101
"AL",2021-01-24,1402,219
"AL",2021-01-31,1941,417
"AL",2021-02-07,2368,550
"AL",2021-02-14,2877,956
"AL",2021-02-21,3571,1226
"AL",2021-02-28,4254,1771
"AL",2021-03-07,4965,2223
"AL",2021-03-14,6002,2989
"AL",2021-03-21,6837,3700
"AL",2021-03-28,7494,4433
"AL",2021-04-04,8100,5187
"AL",2021-04-11,8474,6021
"AL",2021-04-18,8791,6736
"AL",2021-04-25,8989,7335
"AL",2021-05-02,9154,7869
"AL",2021-05-09,9349,8244
"AL",2021-05-16,9727,8759
"AL",2021-05-23,9958,8947
"AL",2021-05-30,10068,9185
"AL",2021-06-06,10171,9352
"AL",2021-06-13,10249,9601
"AL",2021-06-20,10355,9720
"AL",2021-06-27,10421,9845
"AL",2021-07-04,10466,9913
"AL",2021-07-11,10519,9984
"AL",2021-07-18,10623,10050
"AL",2021-07-25,10743,10111
"AL",2021-08-01,10899,10184
"AL",2021-08-08,11110,10292
"AL",2021-08-15,11213,10366
"AL",2021-08-22,11326,10475
"AL",2021-08-29,11427,10616
"AL",2021-09-05,11489,10733
"AL",2021-09-12,11566,10841
"AL",2021-09-19,11627,10943
"AL",2021-09-26,11711,10998
"AL",2021-10-03,11783,11078
"AL",2021-10-10,11839,11152
"AL",2021-10-17,11896,11206
"AL",2021-10-24,11982,11314
"AL",2021-10-31,12043,11369
"AL",2021-11-07,12208,11501
"AL",2021-11-14,12373,11563
"AL",2021-11-21,12463,11597
"AL",2021-11-28,12544,11744
"AL",2021-12-05,12619,11902
"AL",2021-12-12,12669,12036
"AL",2021-12-19,12733,12080
"AL",2021-12-26,12799,12151
"AL",2022-01-02,12874,12210
"AL",2022-01-09,12944,12259
"AL",2022-01-16,13003,12309
"AL",2022-01-23,13052,12354
"AL",2022-01-30,13105,12422
"AL",2022-02-06,13141,12472
"AL",2022-02-13,13164,12512
"AL",2022-02-20,13183,12555
"AL",2022-02-27,13202,12586
"AL",2022-03-06,13217,12614
"AL",2022-03-13,13225,12631
"AL",2022-03-20,13234,12653
"AL",2022-03-27,13239,12668
"AL",2022-04-03,13246,12679
"AL",2022-04-10,13268,12696
"AL",2022-04-17,13279,12706
"AL",2022-04-24,13291,12712
"AL",2022-05-01,13307,12728
"AL",2022-05-08,13316,12739
"AL",2022-05-15,13326,12752
"AL",2022-05-22,13339,12774
"AL",2022-05-29,13352,12782
"AL",2022-06-05,13364,12791
"AL",2022-06-12,13370,12797
"AL",2022-06-19,13379,12803
"AL",2022-06-26,13388,12819
"AL",2022-07-03,13394,12822
"AL",2022-07-10,13411,12828
"AL",2022-07-17,13432,12834
"AL",2022-07-24,13454,12842
"AL",2022-07-31,13472,12852
"AL",2022-08-07,13484,12862
"AL",2022-08-14,13499,12869
"AL",2022-08-21,13515,12877
"AL",2022-08-28,13522,12883
"AL",2022-09-04,13527,12887
"AL",2022-09-11,13534,12893
"AL",2022-09-18,13542,12902
"AL",2022-09-25,13550,12906
"AL",2022-10-02,13556,12908
"AL",2022-10-09,13565,12921
"AL",2022-10-16,13585,12929
"AL",2022-10-23,13594,12931
"AL",2022-10-30,13604,12936
"AX",2020-12-13,0,0
"AX",2020-12-20,212,0
"AX",2020-12-27,410,0
"AX",2021-01-03,677,0
"AX",2021-01-10,995,213
"AX",2021-01-17,2186,310
"AX",2021-01-24,3240,515
"AX",2021-01-31,3831,766
"AX",2021-02-07,4500,1402
"AX",2021-02-14,4928,2688
"AX",2021-02-21,5813,3255
"AX",2021-02-28,6581,3892
"AX",2021-03-07,6934,4392
"AX",2021-03-14,7781,5192
"AX",2021-03-21,8365,6225
"AX",2021-03-28,9347,6604
"AX",2021-04-04,10018,7616
"AX",2021-04-11,10541,8231
"AX",2021-04-18,10854,9013
"AX",2021-04-25,11062,9550
"AX",2021-05-02,11225,10079
"AX",2021-05-09,11443,10439
"AX",2021-05-16,11796,10762
"AX",2021-05-23,11999,10951
"AX",2021-05-30,12128,11148
"AX",2021-06-06,12229,11385
"AX",2021-06-13,12334,11605
"AX",2021-06-20,12427,11729
"AX",2021-06-27,12507,11821
"AX",2021-07-04,12591,11916
"AX",2021-07-11,12681,11992
"AX",2021-07-18,12790,12063
"AX",2021-07-25,12944,12156
"AX",2021-08-01,13107,12237
"AX",2021-08-08,13316,12337
"AX",2021-08-15,13488,12467
"AX",2021-08-22,13617,12618
"AX",2021-08-29,13731,12809
"AX",2021-09-05,13843,12965
"AX",2021-09-12,13928,13095
"AX",2021-09-19,14014,13215
"AX",2021-09-26,14093,13310
"AX",2021-10-03,14169,13398
"AX",2021-10-10,14226,13468
"AX",2021-10-17,14282,13531
"AX",2021-10-24,14354,13594
"AX",2021-10-31,14499,13650
"AX",2021-11-07,14695,13907
"AX",2021-11-14,14890,13962
"AX",2021-11-21,15024,14035
"AX",2021-11-28,15167,14227
"AX",2021-12-05,15290,14370
"AX",2021-12-12,15356,14500
"AX",2021-12-19,15404,14592
"AX",2021-12-26,15456,14684
"AX",2022-01-02,15547,14799
"AX",2022-01-09,15604,14841
"AX",2022-01-16,15660,14880
"AX",2022-01-23,15716,14935
"AX",2022-01-30,15744,14979
"AX",2022-02-06,15764,15024
"AX",2022-02-13,15791,15071
"AX",2022-02-20,15810,15100
"AX",2022-02-27,15825,15131
"AX",2022-03-06,15839,15153
"AX",2022-03-13,15850,15175
"AX",2022-03-20,15862,15186
"AX",2022-03-27,15876,15204
"AX",2022-04-03,15889,15221
"AX",2022-04-10,15899,15234
"AX",2022-04-17,15908,15254
"AX",2022-04-24,15918,15261
"AX",2022-05-01,15927,15280
"AX",2022-05-08,15943,15294
"AX",2022-05-15,15957,15310
"AX",2022-05-22,15966,15320
"AX",2022-05-29,15972,15330
"AX",2022-06-05,15982,15339
"AX",2022-06-12,15991,15347
"AX",2022-06-19,15998,15360
"AX",2022-06-26,16017,15371
"AX",2022-07-03,16042,15378
"AX",2022-07-10,16051,15383
"AX",2022-07-17,16069,15395
"AX",2022-07-24,16085,15405
"AX",2022-07-31,16095,15411
"AX",2022-08-07,16108,15421
"AX",2022-08-14,16123,15428
"AX",2022-08-21,16142,15437
"AX",2022-08-28,16155,15439
"AX",2022-09-04,16168,15444
"AX",2022-09-11,16175,15456
"AX",2022-09-18,16190,15466
"AX",2022-09-25,16201,15475
"AX",2022-10-02,16206,15484
"AX",2022-10-09,16214,15493
"AX",2022-10-16,16221,15499
"AX",2022-10-23,16228,15512
"AX",2022-10-30,16232,15517
"BA",2020-12-13,8,0
"BA",2020-12-20,394,0
"BA",2020-12-27,622,0
"BA",2021-01-03,818,42
"BA",2021-01-10,1314,415
"BA",2021-01-17,1974,574
"BA",2021-01-24,3368,700
"BA",2021-01-31,4156,929
"BA",2021-02-07,4617,1496
"BA",2021-02-14,4993,2733
"BA",2021-02-21,5877,3583
"BA",2021-02-28,7310,4165
"BA",2021-03-07,8612,4848
"BA",2021-03-14,9534,5903
"BA",2021-03-21,10441,7049
"BA",2021-03-28,11794,7774
"BA",2021-04-04,12676,9309
"BA",2021-04-11,13513,10308
"BA",2021-04-18,14012,11240
